Account Balance,Duration of Credit,Credit History,Purpose,Credit Amount,Savings,Employment,Installment rate,Personal Status,Guarantors,Residence,Property,Age,Other installments,Housing,Credit cards,Job,Dependents,Telephone,Foreign Worker,Creditability
0-200,18,No credit,Furniture,3244,<100,1-4,1,Female-Divorced/Married,None,4,Car,33,Bank,Own,2,Employee,1,Yes,Yes,Good
No Account,24,Existing credit paid back duly,Bussiness,4591,>1000,1-4,2,Male-Single,None,3,Life insurance,54,None,Own,3,Executive,1,Yes,Yes,Bad
0-200,48,No credit,Bussiness,3844,100-500,4-7,4,Male-Single,None,4,None,34,None,Free,1,Unemployed-Resident,2,None,Yes,Bad
0-200,27,Existing credit paid back duly,Bussiness,3915,<100,1-4,4,Male-Single,None,2,Car,36,None,Own,1,Employee,2,Yes,Yes,Bad
No Account,6,Existing credit paid back duly,TV,2108,<100,4-7,2,Male-Married/Widowed,None,2,Real estate,29,None,Rent,1,Employee,1,None,Yes,Good
0-200,45,Existing credit paid back duly,TV,3031,100-500,1-4,4,Male-Single,Guarantor,4,Life insurance,21,None,Rent,1,Employee,1,None,Yes,Bad
0-200,9,Other credits,Education,1501,<100,>7,2,Female-Divorced/Married,None,3,Car,34,None,Own,2,Executive,1,Yes,Yes,Bad
No Account,6,Other credits,TV,1382,<100,1-4,1,Female-Divorced/Married,None,1,Car,28,None,Own,2,Employee,1,Yes,Yes,Good
0-200,12,Existing credit paid back duly,Furniture,951,100-500,<1,4,Female-Divorced/Married,None,4,Car,27,Bank,Rent,4,Employee,1,None,Yes,Bad
0-200,24,Existing credit paid back duly,Used Car,2760,None,>7,4,Male-Single,None,4,None,36,Bank,Free,1,Employee,1,Yes,Yes,Good
0-200,18,Delayed,Furniture,4297,<100,>7,4,Male-Divorced,None,3,None,40,None,Own,1,Executive,1,Yes,Yes,Bad
No Account,9,Other credits,Education,936,500-1000,>7,4,Male-Single,None,2,Car,52,None,Own,2,Employee,1,Yes,Yes,Good
None,12,Existing credit paid back duly,New Car,1168,<100,1-4,4,Male-Married/Widowed,None,3,Real estate,27,None,Own,1,Unemployed-Resident,1,None,Yes,Good
No Account,27,Delayed,Bussiness,5117,<100,4-7,3,Male-Single,None,4,Car,26,None,Own,2,Employee,1,None,Yes,Good
None,12,Existing credit paid back duly,Retraining,902,<100,4-7,4,Male-Married/Widowed,None,4,Life insurance,21,None,Rent,1,Employee,1,None,Yes,Bad
No Account,12,Other credits,New Car,1495,<100,>7,4,Male-Single,None,1,Real estate,38,None,Own,2,Unemployed-Resident,2,None,Yes,Good
None,30,Other credits,Used Car,10623,<100,>7,3,Male-Single,None,4,None,38,None,Free,3,Executive,2,Yes,Yes,Good
No Account,12,Other credits,Furniture,1935,<100,>7,4,Male-Single,None,4,Real estate,43,None,Own,3,Employee,1,Yes,Yes,Good
0-200,12,Other credits,Appliances,1424,<100,4-7,4,Male-Single,None,3,Life insurance,26,None,Own,1,Employee,1,None,Yes,Good
None,24,Existing credit paid back duly,Bussiness,6568,<100,1-4,2,Male-Married/Widowed,None,2,Car,21,Stores,Own,1,Unemployed-Resident,1,None,Yes,Good
No Account,12,Existing credit paid back duly,Used Car,1413,>1000,4-7,3,Male-Single,None,2,Life insurance,55,None,Own,1,Employee,1,None,No,Good
No Account,9,Other credits,TV,3074,None,1-4,1,Male-Single,None,2,Real estate,33,None,Own,2,Employee,2,None,Yes,Good
No Account,36,Existing credit paid back duly,TV,3835,None,>7,2,Female-Divorced/Married,None,4,Real estate,45,None,Own,1,Unemployed-Resident,1,Yes,Yes,Good
None,27,No credit,Bussiness,5293,<100,Unemployed,2,Male-Single,None,4,Life insurance,50,Stores,Own,2,Employee,1,Yes,Yes,Bad
>200,30,Delayed,Bussiness,1908,<100,>7,4,Male-Single,None,4,Real estate,66,None,Own,1,Executive,1,Yes,Yes,Bad
No Account,36,Other credits,TV,3342,None,>7,4,Male-Single,None,2,Car,51,None,Own,1,Employee,1,Yes,Yes,Good
0-200,6,Other credits,Retraining,932,None,4-7,1,Female-Divorced/Married,None,3,Life insurance,39,None,Own,2,Unemployed-Resident,1,None,Yes,Good
None,18,No credit,Bussiness,3104,<100,4-7,3,Male-Single,None,1,Life insurance,31,Bank,Own,1,Employee,1,Yes,Yes,Good
>200,36,Existing credit paid back duly,TV,3913,<100,1-4,2,Male-Single,None,2,Real estate,23,None,Own,1,Employee,1,Yes,Yes,Good
None,24,Existing credit paid back duly,Furniture,3021,<100,1-4,2,Male-Divorced,None,2,Real estate,24,None,Rent,1,Unemployed-Resident,1,None,Yes,Good
No Account,10,Existing credit paid back duly,New Car,1364,<100,1-4,2,Female-Divorced/Married,None,4,Car,64,None,Own,1,Employee,1,Yes,Yes,Good
0-200,12,Existing credit paid back duly,TV,625,<100,<1,4,Male-Married/Widowed,Guarantor,1,Real estate,26,Bank,Own,1,Unemployed-Resident,1,None,Yes,Good
None,12,Existing credit paid back duly,Education,1200,None,1-4,4,Female-Divorced/Married,None,4,Life insurance,23,Bank,Rent,1,Employee,1,Yes,Yes,Good
No Account,12,Existing credit paid back duly,TV,707,<100,1-4,4,Male-Single,None,2,Real estate,30,Bank,Own,2,Employee,1,None,Yes,Good
No Account,24,Delayed,Bussiness,2978,None,1-4,4,Male-Single,None,4,Real estate,32,None,Own,2,Employee,2,Yes,Yes,Good
No Account,15,Existing credit paid back duly,Used Car,4657,<100,1-4,3,Male-Single,None,2,Car,30,None,Own,1,Employee,1,Yes,Yes,Good
No Account,36,No credit,Repairs,2613,<100,1-4,4,Male-Single,None,2,Car,27,None,Own,2,Employee,1,None,Yes,Good
0-200,48,Existing credit paid back duly,TV,10961,>1000,4-7,1,Male-Single,Co-applicant,2,None,27,Bank,Own,2,Employee,1,Yes,Yes,Bad
None,12,Existing credit paid back duly,Furniture,7865,<100,>7,4,Male-Single,None,4,None,53,None,Free,1,Executive,1,Yes,Yes,Bad
No Account,9,Existing credit paid back duly,TV,1478,<100,4-7,4,Male-Single,None,2,Car,22,None,Own,1,Employee,1,None,Yes,Bad
None,24,Existing credit paid back duly,Furniture,3149,<100,<1,4,Male-Single,None,1,None,22,Bank,Free,1,Employee,1,None,Yes,Good
>200,36,Existing credit paid back duly,TV,4210,<100,1-4,4,Male-Single,None,2,Car,26,None,Own,1,Employee,1,None,Yes,Bad
No Account,9,Existing credit paid back duly,New Car,2507,500-1000,>7,2,Male-Single,None,4,None,51,None,Free,1,Unemployed-Resident,1,None,Yes,Good
No Account,12,Existing credit paid back duly,TV,2141,100-500,4-7,3,Male-Single,None,1,None,35,None,Own,1,Employee,1,None,Yes,Good
0-200,18,Existing credit paid back duly,TV,866,<100,1-4,4,Male-Married/Widowed,Guarantor,2,Real estate,25,None,Own,1,Unemployed-Resident,1,None,Yes,Good
No Account,4,Other credits,TV,1544,<100,4-7,2,Male-Single,None,1,Real estate,42,None,Own,3,Unemployed-Resident,2,None,Yes,Good
None,24,Existing credit paid back duly,TV,1823,<100,Unemployed,4,Male-Single,None,2,Car,30,Stores,Own,1,Executive,2,None,Yes,Bad
0-200,6,Existing credit paid back duly,New Car,14555,None,Unemployed,1,Male-Single,None,2,Life insurance,23,None,Own,1,Unemployed-Nonresident,1,Yes,Yes,Bad
0-200,21,Existing credit paid back duly,Bussiness,2767,100-500,>7,4,Male-Divorced,None,2,Car,61,Bank,Rent,2,Unemployed-Resident,1,None,Yes,Bad
No Account,12,Other credits,TV,1291,<100,1-4,4,Female-Divorced/Married,None,2,Life insurance,35,None,Own,2,Employee,1,None,Yes,Good
None,30,Existing credit paid back duly,TV,2522,<100,>7,1,Male-Single,Guarantor,3,Life insurance,39,None,Own,1,Employee,2,None,Yes,Good
None,24,Existing credit paid back duly,New Car,915,None,>7,4,Female-Divorced/Married,None,2,Car,29,Bank,Own,1,Employee,1,None,Yes,Bad
No Account,6,Existing credit paid back duly,TV,1595,<100,4-7,3,Male-Single,None,2,Life insurance,51,None,Own,1,Employee,2,None,Yes,Good
None,48,No credit,Used Car,4605,<100,>7,3,Male-Single,None,4,None,24,None,Free,2,Employee,2,None,Yes,Bad
No Account,12,Other credits,Bussiness,1185,<100,1-4,3,Female-Divorced/Married,None,2,Real estate,27,None,Own,2,Employee,1,None,Yes,Good
No Account,12,All credit paid back duly,Retraining,3447,500-1000,1-4,4,Female-Divorced/Married,None,3,Real estate,35,None,Own,1,Unemployed-Resident,2,None,Yes,Good
No Account,24,Existing credit paid back duly,Bussiness,1258,<100,4-7,4,Male-Single,None,1,Real estate,25,None,Own,1,Employee,1,Yes,Yes,Good
No Account,12,Other credits,TV,717,<100,>7,4,Male-Single,None,4,Real estate,52,None,Own,3,Employee,1,None,Yes,Good
No Account,6,No credit,New Car,1204,100-500,1-4,4,Male-Single,None,1,None,35,Bank,Rent,1,Employee,1,None,No,Good
>200,24,Existing credit paid back duly,Furniture,1925,<100,1-4,2,Male-Single,None,2,Real estate,26,None,Own,1,Employee,1,None,Yes,Good
No Account,18,Existing credit paid back duly,TV,433,<100,Unemployed,3,Female-Divorced/Married,Co-applicant,4,Real estate,22,None,Rent,1,Employee,1,None,Yes,Bad
None,6,Other credits,New Car,666,>1000,4-7,3,Female-Divorced/Married,None,4,Real estate,39,None,Own,2,Unemployed-Resident,1,Yes,Yes,Good
>200,12,Existing credit paid back duly,Furniture,2251,<100,1-4,1,Female-Divorced/Married,None,2,Car,46,None,Own,1,Unemployed-Resident,1,None,Yes,Good
0-200,30,Existing credit paid back duly,New Car,2150,<100,1-4,4,Female-Divorced/Married,Guarantor,2,None,24,Bank,Own,1,Employee,1,None,Yes,Bad
No Account,24,Delayed,Furniture,4151,100-500,1-4,2,Male-Single,None,3,Life insurance,35,None,Own,2,Employee,1,None,Yes,Good
0-200,9,Existing credit paid back duly,Furniture,2030,None,4-7,2,Male-Single,None,1,Car,24,None,Own,1,Employee,1,Yes,Yes,Good
0-200,60,Delayed,TV,7418,None,1-4,1,Male-Single,None,1,Real estate,27,None,Own,1,Unemployed-Resident,1,None,Yes,Good
No Account,24,Other credits,TV,2684,<100,1-4,4,Male-Single,None,2,Real estate,35,None,Own,2,Unemployed-Resident,1,None,Yes,Good
None,12,All credit paid back duly,TV,2149,<100,1-4,4,Male-Divorced,None,1,None,29,None,Free,1,Employee,1,None,Yes,Bad
No Account,15,Existing credit paid back duly,Used Car,3812,100-500,<1,1,Female-Divorced/Married,None,4,Car,23,None,Own,1,Employee,1,Yes,Yes,Good
No Account,11,Other credits,TV,1154,100-500,Unemployed,4,Female-Divorced/Married,None,4,Real estate,57,None,Own,3,Unemployed-Resident,1,None,Yes,Good
None,12,Existing credit paid back duly,Furniture,1657,<100,1-4,2,Male-Single,None,2,Real estate,27,None,Own,1,Employee,1,None,Yes,Good
None,24,Existing credit paid back duly,TV,1603,<100,>7,4,Female-Divorced/Married,None,4,Car,55,None,Own,1,Employee,1,None,Yes,Good
None,18,Other credits,New Car,5302,<100,>7,2,Male-Single,None,4,None,36,None,Free,3,Executive,1,Yes,Yes,Good
No Account,12,Other credits,Education,2748,<100,>7,2,Female-Divorced/Married,None,4,None,57,Bank,Free,3,Unemployed-Resident,1,None,Yes,Good
No Account,10,Other credits,New Car,1231,<100,>7,3,Male-Single,None,4,Real estate,32,None,Own,2,Unemployed-Resident,2,None,No,Good
0-200,15,Existing credit paid back duly,TV,802,<100,>7,4,Male-Single,None,3,Car,37,None,Own,1,Employee,2,None,Yes,Bad
No Account,36,Other credits,Bussiness,6304,None,>7,4,Male-Single,None,4,Real estate,36,None,Own,2,Employee,1,None,Yes,Good
No Account,24,Existing credit paid back duly,TV,1533,<100,<1,4,Female-Divorced/Married,None,3,Car,38,Stores,Own,1,Employee,1,Yes,Yes,Good
None,14,Existing credit paid back duly,New Car,8978,<100,>7,1,Male-Divorced,None,4,Life insurance,45,None,Own,1,Executive,1,Yes,No,Bad
No Account,24,Existing credit paid back duly,TV,999,None,>7,4,Male-Single,None,2,Car,25,None,Own,2,Employee,1,None,Yes,Good
No Account,18,Existing credit paid back duly,New Car,2662,None,4-7,4,Male-Single,None,3,Life insurance,32,None,Own,1,Employee,1,None,No,Good
No Account,12,Other credits,Furniture,1402,500-1000,4-7,3,Female-Divorced/Married,None,4,Car,37,None,Rent,1,Employee,1,Yes,Yes,Good
0-200,48,All credit paid back duly,New Car,12169,None,Unemployed,4,Male-Single,Co-applicant,4,None,36,None,Free,1,Executive,1,Yes,Yes,Good
0-200,48,Existing credit paid back duly,TV,3060,<100,4-7,4,Male-Single,None,4,Real estate,28,None,Own,2,Employee,1,None,Yes,Bad
None,30,Existing credit paid back duly,Repairs,11998,<100,<1,1,Male-Divorced,None,1,None,34,None,Own,1,Unemployed-Resident,1,Yes,Yes,Bad
No Account,9,Existing credit paid back duly,TV,2697,<100,1-4,1,Male-Single,None,2,Real estate,32,None,Own,1,Employee,2,None,Yes,Good
No Account,18,Other credits,TV,2404,<100,1-4,2,Female-Divorced/Married,None,2,Car,26,None,Own,2,Employee,1,None,Yes,Good
None,12,Existing credit paid back duly,Furniture,1262,None,>7,2,Male-Divorced,None,4,Life insurance,49,None,Own,1,Unemployed-Resident,1,Yes,Yes,Good
No Account,6,Existing credit paid back duly,Furniture,4611,<100,<1,1,Female-Divorced/Married,None,4,Life insurance,32,None,Own,1,Employee,1,None,Yes,Bad
No Account,24,Existing credit paid back duly,TV,1901,100-500,1-4,4,Male-Single,None,4,Car,29,None,Rent,1,Executive,1,Yes,Yes,Good
No Account,15,Other credits,Used Car,3368,>1000,>7,3,Male-Single,None,4,None,23,None,Rent,2,Employee,1,Yes,Yes,Good
No Account,12,Existing credit paid back duly,Furniture,1574,<100,1-4,4,Male-Single,None,2,Real estate,50,None,Own,1,Employee,1,None,Yes,Good
>200,18,All credit paid back duly,TV,1445,None,4-7,4,Male-Single,None,4,Car,49,Bank,Own,1,Unemployed-Resident,1,None,Yes,Good
No Account,15,Other credits,Furniture,1520,None,>7,4,Male-Single,None,4,Life insurance,63,None,Own,1,Employee,1,None,Yes,Good
0-200,24,Other credits,New Car,3878,100-500,<1,4,Male-Divorced,None,2,Car,37,None,Own,1,Employee,1,Yes,Yes,Good
None,47,Existing credit paid back duly,New Car,10722,<100,<1,1,Female-Divorced/Married,None,1,Real estate,35,None,Own,1,Unemployed-Resident,1,Yes,Yes,Good
None,48,Existing credit paid back duly,Used Car,4788,<100,4-7,4,Male-Single,None,3,Life insurance,26,None,Own,1,Employee,2,None,Yes,Good
0-200,48,Delayed,Others,7582,100-500,Unemployed,2,Male-Single,None,4,None,31,None,Free,1,Executive,1,Yes,Yes,Good
0-200,12,Existing credit paid back duly,TV,1092,<100,1-4,4,Female-Divorced/Married,Guarantor,4,Real estate,49,None,Own,2,Employee,1,Yes,Yes,Good
None,24,Delayed,TV,1024,<100,<1,4,Male-Married/Widowed,None,4,Real estate,48,Stores,Own,1,Employee,1,None,Yes,Bad
No Account,12,Existing credit paid back duly,Bussiness,1076,<100,1-4,2,Male-Married/Widowed,None,2,Real estate,26,None,Own,1,Employee,1,Yes,No,Good
0-200,36,Existing credit paid back duly,Used Car,9398,<100,<1,1,Male-Married/Widowed,None,4,Car,28,None,Rent,1,Executive,1,Yes,Yes,Bad
None,24,Other credits,Used Car,6419,<100,>7,2,Female-Divorced/Married,None,4,None,44,None,Free,2,Executive,2,Yes,Yes,Good
>200,42,Other credits,Used Car,4796,<100,>7,4,Male-Single,None,4,None,56,None,Free,1,Employee,1,None,Yes,Good
No Account,48,Other credits,Bussiness,7629,None,>7,4,Male-Divorced,None,2,Car,46,Bank,Own,2,Executive,2,None,Yes,Good
0-200,48,Existing credit paid back duly,Furniture,9960,<100,<1,1,Female-Divorced/Married,None,2,Car,26,None,Own,1,Employee,1,Yes,Yes,Bad
No Account,12,Existing credit paid back duly,Used Car,4675,None,<1,1,Female-Divorced/Married,None,4,Car,20,None,Rent,1,Employee,1,None,Yes,Good
No Account,10,Existing credit paid back duly,New Car,1287,None,>7,4,Male-Single,Co-applicant,2,Life insurance,45,None,Own,1,Unemployed-Resident,1,None,No,Good
No Account,18,Existing credit paid back duly,Furniture,2515,<100,1-4,3,Male-Single,None,4,Real estate,43,None,Own,1,Employee,1,Yes,Yes,Good
0-200,21,Other credits,Furniture,2745,>1000,4-7,3,Male-Single,None,2,Car,32,None,Own,2,Employee,1,Yes,Yes,Good
No Account,6,Existing credit paid back duly,New Car,672,<100,Unemployed,1,Female-Divorced/Married,None,4,Real estate,54,None,Own,1,Unemployed-Nonresident,1,Yes,Yes,Good
0-200,36,No credit,TV,3804,<100,1-4,4,Female-Divorced/Married,None,1,Car,42,None,Own,1,Employee,1,Yes,Yes,Bad
>200,24,Other credits,New Car,1344,None,4-7,4,Male-Single,None,2,Real estate,37,Bank,Own,2,Unemployed-Resident,2,None,Yes,Bad
None,10,Other credits,New Car,1038,<100,4-7,4,Male-Single,Co-applicant,3,Life insurance,49,None,Own,2,Employee,1,Yes,Yes,Good
No Account,48,Other credits,New Car,10127,500-1000,1-4,2,Male-Single,None,2,None,44,Bank,Free,1,Employee,1,None,Yes,Bad
No Account,6,Existing credit paid back duly,Furniture,1543,>1000,1-4,4,Male-Divorced,None,2,Real estate,33,None,Own,1,Employee,1,None,Yes,Good
No Account,30,Existing credit paid back duly,Used Car,4811,None,4-7,2,Female-Divorced/Married,None,4,Life insurance,24,Stores,Rent,1,Unemployed-Resident,1,None,Yes,Good
None,12,Existing credit paid back duly,TV,727,100-500,<1,4,Male-Married/Widowed,None,3,None,33,None,Own,1,Unemployed-Resident,1,Yes,Yes,Bad
0-200,8,Existing credit paid back duly,Furniture,1237,<100,1-4,3,Female-Divorced/Married,None,4,Real estate,24,None,Own,1,Employee,1,None,Yes,Bad
0-200,9,Existing credit paid back duly,New Car,276,<100,1-4,4,Male-Married/Widowed,None,4,Real estate,22,None,Rent,1,Unemployed-Resident,1,None,Yes,Good
0-200,48,Existing credit paid back duly,Others,5381,None,Unemployed,3,Male-Single,None,4,None,40,Bank,Free,1,Unemployed-Nonresident,1,Yes,Yes,Good
No Account,24,Existing credit paid back duly,Furniture,5511,100-500,1-4,4,Male-Single,None,1,Car,25,Stores,Own,1,Employee,1,None,Yes,Good
>200,24,Existing credit paid back duly,Furniture,3749,<100,<1,2,Female-Divorced/Married,None,4,Car,26,None,Own,1,Employee,1,None,Yes,Good
0-200,12,Existing credit paid back duly,New Car,685,<100,4-7,2,Male-Married/Widowed,None,3,Car,25,Bank,Own,1,Unemployed-Resident,1,None,Yes,Bad
>200,4,Existing credit paid back duly,New Car,1494,None,<1,1,Male-Single,None,2,Real estate,29,None,Own,1,Unemployed-Resident,2,None,No,Good
None,36,All credit paid back duly,Furniture,2746,<100,>7,4,Male-Single,None,4,Car,31,Bank,Own,1,Employee,1,None,Yes,Bad
None,12,Existing credit paid back duly,Furniture,708,<100,1-4,2,Male-Single,Guarantor,3,Life insurance,38,None,Own,1,Unemployed-Resident,2,None,Yes,Good
0-200,24,Existing credit paid back duly,Furniture,4351,None,1-4,1,Female-Divorced/Married,None,4,Life insurance,48,None,Own,1,Unemployed-Resident,1,Yes,Yes,Good
No Account,12,Other credits,Education,701,<100,1-4,4,Male-Single,None,2,Car,32,None,Own,2,Employee,1,None,Yes,Good
None,15,Delayed,Furniture,3643,<100,>7,1,Female-Divorced/Married,None,4,Life insurance,27,None,Own,2,Unemployed-Resident,1,None,Yes,Good
0-200,30,Other credits,New Car,4249,<100,Unemployed,4,Male-Married/Widowed,None,2,Car,28,None,Own,2,Executive,1,None,Yes,Bad
None,24,Existing credit paid back duly,TV,1938,<100,<1,4,Male-Divorced,None,3,Life insurance,32,None,Own,1,Employee,1,None,Yes,Bad
None,24,Existing credit paid back duly,Used Car,2910,<100,4-7,2,Male-Single,None,1,None,34,None,Free,1,Executive,1,Yes,Yes,Good
None,18,Existing credit paid back duly,Furniture,2659,>1000,1-4,4,Male-Single,None,2,Car,28,None,Own,1,Employee,1,None,Yes,Good
No Account,18,Other credits,New Car,1028,<100,1-4,4,Female-Divorced/Married,None,3,Real estate,36,None,Own,2,Employee,1,None,Yes,Good
None,8,Other credits,New Car,3398,<100,4-7,1,Male-Single,None,4,Real estate,39,None,Own,2,Unemployed-Resident,1,None,No,Good
No Account,12,Other credits,Furniture,5801,None,>7,2,Male-Single,None,4,Life insurance,49,None,Rent,1,Employee,1,Yes,Yes,Good
No Account,24,Existing credit paid back duly,New Car,1525,>1000,4-7,4,Female-Divorced/Married,None,3,Car,34,None,Own,1,Employee,2,Yes,Yes,Good
>200,36,Existing credit paid back duly,TV,4473,<100,>7,4,Male-Single,None,2,Car,31,None,Own,1,Employee,1,None,Yes,Good
0-200,6,Existing credit paid back duly,TV,1068,<100,>7,4,Male-Single,None,4,Car,28,None,Own,1,Employee,2,None,Yes,Good
None,24,Other credits,Used Car,6615,<100,Unemployed,2,Male-Single,None,4,None,75,None,Free,2,Executive,1,Yes,Yes,Good
No Account,18,Other credits,Education,1864,100-500,1-4,4,Female-Divorced/Married,None,2,Real estate,30,None,Own,2,Employee,1,None,Yes,Bad
0-200,60,Existing credit paid back duly,New Car,7408,100-500,<1,4,Female-Divorced/Married,None,2,Life insurance,24,None,Own,1,Executive,1,None,Yes,Bad
No Account,48,Other credits,Used Car,11590,100-500,1-4,2,Female-Divorced/Married,None,4,Car,24,Bank,Rent,2,Unemployed-Resident,1,None,Yes,Bad
None,24,No credit,Furniture,4110,<100,>7,3,Male-Single,None,4,None,23,Bank,Rent,2,Employee,2,None,Yes,Bad
None,6,Other credits,Furniture,3384,<100,1-4,1,Male-Divorced,None,4,Real estate,44,None,Rent,1,Executive,1,Yes,Yes,Bad
0-200,13,Existing credit paid back duly,TV,2101,<100,<1,2,Female-Divorced/Married,Guarantor,4,Life insurance,23,None,Own,1,Unemployed-Resident,1,None,Yes,Good
None,15,Existing credit paid back duly,Appliances,1275,None,1-4,4,Female-Divorced/Married,None,2,Car,24,None,Rent,1,Employee,1,None,Yes,Bad
None,24,Existing credit paid back duly,Furniture,4169,<100,1-4,4,Male-Single,None,4,Life insurance,28,None,Own,1,Employee,1,None,Yes,Good
0-200,10,Existing credit paid back duly,Furniture,1521,<100,1-4,4,Male-Divorced,None,2,Car,31,None,Own,1,Unemployed-Resident,1,None,Yes,Good
0-200,24,Other credits,Education,5743,<100,<1,2,Female-Divorced/Married,None,4,None,24,None,Free,2,Employee,1,Yes,Yes,Good
None,21,Existing credit paid back duly,Furniture,3599,<100,4-7,1,Female-Divorced/Married,None,4,Car,26,None,Rent,1,Unemployed-Resident,1,None,Yes,Good
0-200,18,Existing credit paid back duly,TV,3213,500-1000,<1,1,Male-Married/Widowed,None,3,Real estate,25,None,Rent,1,Employee,1,None,Yes,Good
0-200,18,Existing credit paid back duly,Bussiness,4439,<100,>7,1,Male-Single,Co-applicant,1,Real estate,33,Bank,Own,1,Executive,1,Yes,Yes,Good
>200,10,Existing credit paid back duly,New Car,3949,<100,<1,1,Male-Single,Guarantor,1,Life insurance,37,None,Own,1,Unemployed-Resident,2,None,Yes,Good
No Account,15,Other credits,TV,1459,<100,1-4,4,Female-Divorced/Married,None,2,Car,43,None,Own,1,Unemployed-Resident,1,None,Yes,Good
0-200,13,Other credits,TV,882,<100,<1,4,Male-Single,Guarantor,4,Real estate,23,None,Own,2,Employee,1,None,Yes,Good
0-200,24,Existing credit paid back duly,TV,3758,500-1000,Unemployed,1,Female-Divorced/Married,None,4,None,23,None,Rent,1,Unemployed-Nonresident,1,None,Yes,Good
No Account,6,Delayed,Bussiness,1743,100-500,1-4,1,Male-Single,None,2,Real estate,34,None,Own,2,Unemployed-Resident,1,None,Yes,Good
0-200,9,Other credits,Education,1136,>1000,>7,4,Male-Single,None,3,None,32,None,Free,2,Employee,2,None,Yes,Bad
No Account,9,Existing credit paid back duly,Appliances,1236,<100,<1,1,Female-Divorced/Married,None,4,Real estate,23,None,Rent,1,Employee,1,Yes,Yes,Good
0-200,9,Existing credit paid back duly,Furniture,959,<100,1-4,1,Female-Divorced/Married,None,2,Car,29,None,Own,1,Employee,1,None,No,Bad
No Account,18,Other credits,Used Car,3229,None,Unemployed,2,Male-Single,None,4,None,38,None,Own,1,Executive,1,Yes,Yes,Good
None,12,No credit,TV,6199,<100,1-4,4,Male-Single,None,2,Life insurance,28,None,Rent,2,Employee,1,Yes,Yes,Bad
No Account,10,Existing credit paid back duly,Education,727,500-1000,>7,4,Male-Single,None,4,None,46,None,Free,1,Employee,1,Yes,Yes,Good
0-200,24,Existing credit paid back duly,New Car,1246,<100,<1,4,Male-Single,None,2,Real estate,23,Stores,Own,1,Unemployed-Resident,1,None,Yes,Bad
No Account,12,Other credits,TV,2331,None,>7,1,Male-Single,Co-applicant,4,Real estate,49,None,Own,1,Employee,1,Yes,Yes,Good
No Account,36,Delayed,TV,4463,<100,1-4,4,Male-Single,None,2,Car,26,None,Own,2,Executive,1,Yes,Yes,Bad
No Account,12,Existing credit paid back duly,TV,776,<100,1-4,4,Male-Married/Widowed,None,2,Real estate,28,None,Own,1,Employee,1,None,Yes,Good
None,30,Existing credit paid back duly,Furniture,2406,<100,4-7,4,Female-Divorced/Married,None,4,Real estate,23,None,Rent,1,Employee,1,None,Yes,Bad
0-200,18,Existing credit paid back duly,Education,1239,None,1-4,4,Male-Single,None,4,None,61,None,Free,1,Employee,1,None,Yes,Good
>200,12,Existing credit paid back duly,TV,3399,None,>7,2,Male-Single,None,3,Car,37,None,Own,1,Executive,1,None,Yes,Good
>200,12,Delayed,New Car,2247,<100,1-4,2,Female-Divorced/Married,None,2,Car,36,Stores,Own,2,Employee,1,Yes,Yes,Good
No Account,6,Existing credit paid back duly,Furniture,1766,<100,1-4,1,Male-Married/Widowed,None,2,Life insurance,21,None,Rent,1,Employee,1,None,Yes,Good
None,18,Existing credit paid back duly,Furniture,2473,<100,Unemployed,4,Male-Single,None,1,Car,25,None,Own,1,Unemployed-Nonresident,1,None,Yes,Bad
No Account,12,Existing credit paid back duly,Bussiness,1542,<100,4-7,2,Male-Single,None,4,Car,36,None,Own,1,Employee,1,Yes,Yes,Good
No Account,18,Other credits,Used Car,3850,<100,4-7,3,Male-Single,None,1,Car,27,None,Own,2,Employee,1,None,Yes,Good
None,18,Existing credit paid back duly,Furniture,3650,<100,<1,1,Female-Divorced/Married,None,4,Car,22,None,Rent,1,Employee,1,None,Yes,Good
None,36,Existing credit paid back duly,Furniture,3446,<100,>7,4,Male-Single,None,2,Car,42,None,Own,1,Employee,2,None,Yes,Bad
0-200,18,Existing credit paid back duly,Furniture,3001,<100,4-7,2,Female-Divorced/Married,None,4,Real estate,40,None,Rent,1,Employee,1,None,Yes,Good
No Account,36,Existing credit paid back duly,New Car,3079,None,1-4,4,Male-Single,None,4,Real estate,36,None,Own,1,Employee,1,None,Yes,Good
No Account,18,Other credits,TV,6070,<100,>7,3,Male-Single,None,4,Car,33,None,Own,2,Employee,1,Yes,Yes,Good
No Account,10,Other credits,Furniture,2146,<100,<1,1,Female-Divorced/Married,None,3,Real estate,23,None,Rent,2,Employee,1,None,Yes,Good
No Account,60,Other credits,New Car,13756,None,>7,2,Male-Single,None,4,None,63,Bank,Free,1,Executive,1,Yes,Yes,Good
0-200,60,All credit paid back duly,Others,14782,100-500,>7,3,Female-Divorced/Married,None,4,None,60,Bank,Free,2,Executive,1,Yes,Yes,Bad
None,48,All credit paid back duly,Bussiness,7685,<100,4-7,2,Female-Divorced/Married,Guarantor,4,Car,37,None,Rent,1,Employee,1,None,Yes,Bad
No Account,18,Delayed,TV,2320,<100,Unemployed,2,Male-Married/Widowed,None,3,Real estate,34,None,Own,2,Employee,1,None,Yes,Good
No Account,7,Delayed,TV,846,None,>7,3,Male-Single,None,4,None,36,None,Free,1,Employee,1,None,Yes,Good
